101	Single	32766	4570.00
102	PG	1	4000.00
103	Suite	0	50000.00
104	Double	0	25000.00
105	Single	1	25431.00
106	PG	0	5000.00
107	Suite	0	50000.00
108	Double	0	25000.00
109	Single	1	10000.00
110	PG	0	5000.00
111	Suite	0	50000.00
112	Double	0	25000.00
113	Single	1	10000.00
114	PG	0	5000.00
115	Suite	0	50000.00
116	Double	0	25000.00
117	Single	0	10000.00
118	PG	0	5000.00
119	Suite	0	50000.00
120	Double	0	25000.00
121	Single	0	10000.00
122	PG	0	5000.00
123	Suite	0	50000.00
124	Double	0	25000.00
125	Single	0	10000.00
126	PG	0	5000.00
127	Suite	0	50000.00
128	Double	0	25000.00
129	Single	0	10000.00
130	PG	0	5000.00
131	Suite	0	50000.00
132	Double	0	25000.00
133	Single	0	10000.00
134	PG	0	5000.00
135	Suite	0	50000.00
136	Double	0	25000.00
137	Single	0	10000.00
138	PG	0	5000.00
139	Suite	0	50000.00
140	Double	0	25000.00
141	Single	0	10000.00
142	PG	0	5000.00
143	Suite	0	50000.00
144	Double	0	25000.00
145	Single	0	10000.00
146	PG	0	5000.00
147	Suite	0	50000.00
148	Double	0	25000.00
149	Single	0	10000.00
150	PG	0	5000.00
151	Suite	0	50000.00
152	Double	0	25000.00
153	Single	0	10000.00
154	PG	0	5000.00
155	Suite	0	50000.00
156	Double	0	25000.00
157	Single	0	10000.00
158	PG	0	5000.00
159	Suite	0	50000.00
160	Double	0	25000.00
161	Single	0	10000.00
162	PG	0	5000.00
163	Suite	0	50000.00
164	Double	0	25000.00
165	Single	0	10000.00
166	PG	0	5000.00
167	Suite	0	50000.00
168	Double	0	25000.00
169	Single	0	10000.00
170	PG	0	5000.00
171	Suite	0	50000.00
172	Double	0	25000.00
173	Single	0	10000.00
174	PG	0	5000.00
175	Suite	0	50000.00
176	Double	0	25000.00
177	Single	0	10000.00
178	PG	0	5000.00
179	Suite	0	50000.00
180	Double	0	25000.00
181	Single	0	10000.00
182	PG	0	5000.00
183	Suite	0	50000.00
184	Double	0	25000.00
185	Single	0	10000.00
186	PG	0	5000.00
187	Suite	0	50000.00
188	Double	0	25000.00
189	Single	0	10000.00
190	PG	0	5000.00
191	Suite	0	50000.00
192	Double	0	25000.00
193	Single	0	10000.00
194	PG	0	5000.00
195	Suite	0	50000.00
196	Double	0	25000.00
197	Single	0	10000.00
198	PG	0	5000.00
199	Suite	0	50000.00
200	Double	1	25000.00
